VehicleSignals(0e9902069232,Some(Timestamp(1587467671,0,UnknownFieldSet(Map()))),Map(currentSpeed -> 60.0, odometer -> 61.0, uptime -> 3660000.0, isCharging -> 0.0),UnknownFieldSet(Map()))
VehicleSignals(0e9902069232,Some(Timestamp(1587467731,0,UnknownFieldSet(Map()))),Map(currentSpeed -> 59.0, odometer -> 62.0, uptime -> 3720000.0, isCharging -> 0.0),UnknownFieldSet(Map()))
VehicleSignals(0e9902069232,Some(Timestamp(1587467791,0,UnknownFieldSet(Map()))),Map(currentSpeed -> 59.0, odometer -> 63.0, uptime -> 3780000.0, isCharging -> 0.0),UnknownFieldSet(Map()))
VehicleSignals(0e9902069232,Some(Timestamp(1587467851,0,UnknownFieldSet(Map()))),Map(currentSpeed -> 58.0, odometer -> 64.0, uptime -> 3840000.0, isCharging -> 0.0),UnknownFieldSet(Map()))
VehicleSignals(0e9902069232,Some(Timestamp(1587467911,0,UnknownFieldSet(Map()))),Map(currentSpeed -> 61.0, odometer -> 65.0, uptime -> 3900000.0, isCharging -> 0.0),UnknownFieldSet(Map()))
VehicleSignals(0e9902069232,Some(Timestamp(1587467971,0,UnknownFieldSet(Map()))),Map(currentSpeed -> 58.0, odometer -> 66.0, uptime -> 3960000.0, isCharging -> 0.0),UnknownFieldSet(Map()))
VehicleSignals(0e9902069232,Some(Timestamp(1587468031,0,UnknownFieldSet(Map()))),Map(currentSpeed -> 62.0, odometer -> 67.0, uptime -> 4020000.0, isCharging -> 0.0),UnknownFieldSet(Map()))
VehicleSignals(0e9902069232,Some(Timestamp(1587468091,0,UnknownFieldSet(Map()))),Map(currentSpeed -> 59.0, odometer -> 68.0, uptime -> 4080000.0, isCharging -> 0.0),UnknownFieldSet(Map()))
VehicleSignals(0e9902069232,Some(Timestamp(1587468151,0,UnknownFieldSet(Map()))),Map(currentSpeed -> 58.0, odometer -> 69.0, uptime -> 4140000.0, isCharging -> 0.0),UnknownFieldSet(Map()))
VehicleSignals(0e9902069232,Some(Timestamp(1587468211,0,UnknownFieldSet(Map()))),Map(currentSpeed -> 58.0, odometer -> 70.0, uptime -> 4200000.0, isCharging -> 0.0),UnknownFieldSet(Map()))
VehicleSignals(0e9902069232,Some(Timestamp(1587468271,0,UnknownFieldSet(Map()))),Map(currentSpeed -> 54.0, odometer -> 71.0, uptime -> 4260000.0, isCharging -> 0.0),UnknownFieldSet(Map()))
VehicleSignals(0e9902069232,Some(Timestamp(1587468331,0,UnknownFieldSet(Map()))),Map(currentSpeed -> 57.0, odometer -> 72.0, uptime -> 4320000.0, isCharging -> 0.0),UnknownFieldSet(Map()))
VehicleSignals(0e9902069232,Some(Timestamp(1587468391,0,UnknownFieldSet(Map()))),Map(currentSpeed -> 52.0, odometer -> 73.0, uptime -> 4380000.0, isCharging -> 0.0),UnknownFieldSet(Map()))
VehicleSignals(0e9902069232,Some(Timestamp(1587468451,0,UnknownFieldSet(Map()))),Map(currentSpeed -> 48.0, odometer -> 74.0, uptime -> 4440000.0, isCharging -> 0.0),UnknownFieldSet(Map()))
VehicleSignals(0e9902069232,Some(Timestamp(1587468511,0,UnknownFieldSet(Map()))),Map(currentSpeed -> 48.0, odometer -> 75.0, uptime -> 4500000.0, isCharging -> 0.0),UnknownFieldSet(Map()))
VehicleSignals(0e9902069232,Some(Timestamp(1587468571,0,UnknownFieldSet(Map()))),Map(currentSpeed -> 48.0, odometer -> 76.0, uptime -> 4560000.0, isCharging -> 0.0),UnknownFieldSet(Map()))
VehicleSignals(0e9902069232,Some(Timestamp(1587468631,0,UnknownFieldSet(Map()))),Map(currentSpeed -> 44.0, odometer -> 77.0, uptime -> 4620000.0, isCharging -> 0.0),UnknownFieldSet(Map()))
VehicleSignals(0e9902069232,Some(Timestamp(1587468691,0,UnknownFieldSet(Map()))),Map(currentSpeed -> 44.0, odometer -> 78.0, uptime -> 4680000.0, isCharging -> 0.0),UnknownFieldSet(Map()))
VehicleSignals(0e9902069232,Some(Timestamp(1587468751,0,UnknownFieldSet(Map()))),Map(currentSpeed -> 48.0, odometer -> 79.0, uptime -> 4740000.0, isCharging -> 0.0),UnknownFieldSet(Map()))
VehicleSignals(0e9902069232,Some(Timestamp(1587468811,0,UnknownFieldSet(Map()))),Map(currentSpeed -> 48.0, odometer -> 80.0, uptime -> 4800000.0, isCharging -> 0.0),UnknownFieldSet(Map()))
VehicleSignals(0e9902069232,Some(Timestamp(1587468871,0,UnknownFieldSet(Map()))),Map(currentSpeed -> 49.0, odometer -> 81.0, uptime -> 4860000.0, isCharging -> 0.0),UnknownFieldSet(Map()))
VehicleSignals(0e9902069232,Some(Timestamp(1587468931,0,UnknownFieldSet(Map()))),Map(currentSpeed -> 49.0, odometer -> 82.0, uptime -> 4920000.0, isCharging -> 0.0),UnknownFieldSet(Map()))
